Género	Total de Artículos	URL
Hombre	846	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=85
Mujer	516	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=85
