Género	Total de Artículos	URL
Hombre	926	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=129
Mujer	676	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=129
