Género	Total de Artículos	URL
Hombre	1235	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=1277
Mujer	822	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=1277
