Género	Total de Artículos	URL
Hombre	2435	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=13
Mujer	1660	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=13
