Género	Total de Artículos	URL
Hombre	380	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=3062
Mujer	241	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=3062
