Género	Total de Artículos	URL
Hombre	402	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=83
Mujer	239	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=83
