Género	Total de Artículos	URL
Hombre	1298	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=1332
Mujer	785	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=1332
