Género	Total de Artículos	URL
Hombre	801	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=68
Mujer	462	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=68
