Género	Total de Artículos	URL
Hombre	2088	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=41
Mujer	1087	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=41
