Género	Total de Artículos	URL
Hombre	245	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=2387
Mujer	140	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=2387
