Género	Total de Artículos	URL
Hombre	1026	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=271
Mujer	778	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=271
