Género	Total de Artículos	URL
Hombre	16675	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=3
Mujer	11325	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=3
