Género	Total de Artículos	URL
Hombre	1084	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=250
Mujer	774	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=250
