Género	Total de Artículos	URL
Hombre	1661	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=170
Mujer	999	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=170
