Género	Total de Artículos	URL
Hombre	3383	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=43
Mujer	2159	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=43
