Género	Total de Artículos	URL
Hombre	1540	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=1278
Mujer	972	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=1278
