Género	Total de Artículos	URL
Hombre	1694	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=1192
Mujer	1418	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=1192
