Género	Total de Artículos	URL
Hombre	54	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=1314
Mujer	45	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=1314
