Género	Total de Artículos	URL
Hombre	11	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=4539
Mujer	10	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=4539
