Género	Total de Artículos	URL
Hombre	415	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=2096
Mujer	262	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=2096
