Género	Total de Artículos	URL
Hombre	509	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=1228
Mujer	225	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=1228
