Género	Total de Artículos	URL
Hombre	505	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=1396
Mujer	306	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=1396
