Género	Total de Artículos	URL
Hombre	28	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=1187
Mujer	10	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=1187
