Género	Total de Artículos	URL
Hombre	2411	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=310
Mujer	629	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=310
