Género	Total de Artículos	URL
Hombre	2747	https://dataciencia.anid.cl/articles/breakdown?gender=1&institution_id%5B%5D=8
Mujer	2012	https://dataciencia.anid.cl/articles/breakdown?gender=2&institution_id%5B%5D=8
