id   |Id_AutorGS  |Nombre_Autor                              |Cargo                                                                                                                       |Dominio  |Intereses                                                                                                               |Link                                                        |Hindex_Todo|Hindex_Desde|Citas_Todo|Citas_Desde|i10_Index_Todo|i10_Index_Desde|Id_InstitucionGS   |
44060|pC1AX9AAAAAJ|Dr. Steffen Härtel                        |Full Professor, University of Chile                                                                                         |uchile   |BiophysicsMicroscopyImage ProcessingMedical Informatics                                                                 |https://scholar.google.com/citations?hl=en&user=pC1AX9AAAAAJ|         28|          20|      2395|       1134|            38|             53|9232372474901007921|
44183|seqitLIAAAAJ|Patricio M Rojo                           |Universidad de Chile                                                                                                        |uchile   |AstronomomyGeophysicsPlanetary Science                                                                                  |https://scholar.google.com/citations?hl=en&user=seqitLIAAAAJ|         27|          20|      2387|       1597|            38|             44|9232372474901007921|
44351|LphcJRUAAAAJ|Alvaro S.  Nunez                          |Universidad de Chile                                                                                                        |uchile   |Condensed Matter PhysicsMagnetismSpintronics                                                                            |https://scholar.google.com/citations?hl=en&user=LphcJRUAAAAJ|         24|          21|      2353|       1098|            33|             40|9232372474901007921|
44429|6Prc0rgAAAAJ|Andres Gomez-Lobo                         |Professor of Economics, University of Chile                                                                                 |uchile   |Transportregulationnatural resources                                                                                    |https://scholar.google.com/citations?hl=en&user=6Prc0rgAAAAJ|         26|          16|      2326|        783|            24|             44|9232372474901007921|
44574|6i0W62wAAAAJ|Juan P. Boisier                           |Department of Geophysics, Universidad de Chile; Center for Climate and Resilience Research, Chile                           |uchile   |Climate Variability                                                                                                     |https://scholar.google.com/citations?hl=en&user=6i0W62wAAAAJ|         19|          19|      2337|       1998|            20|             23|9232372474901007921|
44630|YWg1LsAAAAAJ|Roberto Mauricio Vidal                    |Universidad de Chile                                                                                                        |uchile   |microbiología                                                                                                           |https://scholar.google.com/citations?hl=en&user=YWg1LsAAAAAJ|         27|          22|      2278|       1392|            40|             50|9232372474901007921|
44724|89A_sJoAAAAJ|Lilian Abugoch                            |Universidad de Chile                                                                                                        |uchile   |biopolymers/food materialedible filmquinoaencapsulationstructure protein                                                |https://scholar.google.com/citations?hl=en&user=89A_sJoAAAAJ|         16|          14|      2231|       1632|            18|             24|9232372474901007921|
44822|Ei4X1N8AAAAJ|Enrique Lopez Droguett                    |University of Chile                                                                                                         |uchile   |ReliabilityRisk                                                                                                         |https://scholar.google.com/citations?hl=en&user=Ei4X1N8AAAAJ|         22|          20|      2221|       1566|            45|             58|9232372474901007921|
45076|dPQnJeQAAAAJ|Monica Soler                              |Universidad  de Chile                                                                                                       |uchile   |Quimica Inorganica                                                                                                      |https://scholar.google.com/citations?hl=en&user=dPQnJeQAAAAJ|         23|          12|      2202|        451|            15|             28|9232372474901007921|
45140|_YWCx_QAAAAJ|Alfonso Paredes                           |Universidad de Chile                                                                                                        |uchile   |Neuroendocrinología Reproductiva                                                                                        |https://scholar.google.com/citations?hl=en&user=_YWCx_QAAAAJ|         28|          19|      2171|        791|            29|             35|9232372474901007921|
45199|_eK_f0UAAAAJ|Donald Jackson                            |Departamento Antropología, Universidad de Chile                                                                             |uchile   |ArchaeologyEarly peopling of AmericaCoastal adaptations                                                                 |https://scholar.google.com/citations?hl=en&user=_eK_f0UAAAAJ|         23|          15|      2187|        966|            30|             75|9232372474901007921|
45411|NKvnYvcAAAAJ|Rodrigo A. Vicencio                       |DFI-FCFM, Universidad de Chile                                                                                              |uchile   |OpticsWaveguide ArraysPhotonic LatticesFlat Bands                                                                       |https://scholar.google.com/citations?hl=en&user=NKvnYvcAAAAJ|         22|          17|      2160|       1248|            24|             39|9232372474901007921|
45532|wF-LwB4AAAAJ|Marcelo Farias                            |Profesor Asistente Universidad de Chile                                                                                     |uchile   |TectonicsMountain BuildingSeismotectonicsWedge tectonicsSubduction                                                      |https://scholar.google.com/citations?hl=en&user=wF-LwB4AAAAJ|         21|          18|      2136|       1184|            24|             34|9232372474901007921|
45662|X4A3nzwAAAAJ|Cattan, P. E.                             |universidad de chile                                                                                                        |uchile   |                                                                                                                        |https://scholar.google.com/citations?hl=en&user=X4A3nzwAAAAJ|         28|          17|      2132|        928|            38|             65|9232372474901007921|
45837|ptRI8_sAAAAJ|Francisco Förster                         |Adjunct professor, Center for Mathematical Modeling & Department of Astronomy, University of Chile                          |uchile   |astronomysupernovadata scienceastroinformatics                                                                          |https://scholar.google.com/citations?hl=en&user=ptRI8_sAAAAJ|         26|          24|      2087|       1635|            34|             37|9232372474901007921|
45929|WQbDf7EAAAAJ|Rodrigo Carlos Cornejo                    |Departamento de Psicología. Universidad de Chile. Observatorio Chileno de Políticas Educativas                              |uchile   |Trabajo docentepolíticas educativasmovimientos socialeseducación escolar                                                |https://scholar.google.com/citations?hl=en&user=WQbDf7EAAAAJ|         19|          17|      2083|       1387|            22|             23|9232372474901007921|
45986|iFqdx5IAAAAJ|José Manuel Yáñez                         |Universidad de Chile                                                                                                        |uchile   |Quantitative geneticsgenomicsfish breeding                                                                              |https://scholar.google.com/citations?hl=en&user=iFqdx5IAAAAJ|         24|          24|      2054|       1955|            46|             48|9232372474901007921|
46116|kZDCVj8AAAAJ|Carlos A. Santiviago                      |Universidad de Chile                                                                                                        |uchile   |Host-pathogen interactionBacterial pathogenesisSalmonellaGeneticsGenomics                                               |https://scholar.google.com/citations?hl=en&user=kZDCVj8AAAAJ|         24|          20|      2046|       1075|            34|             38|9232372474901007921|
