id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
15469411678705648791,GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,uahurtado,uahurtado.cl,9766,Musicología Música popular latinoamericana Música y sociedad 
15469411678705648791,ZIkl7UgAAAAJ,Luis Cornejo,"Profesor, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,1463,Arqueología 
15469411678705648791,3SzLhtAAAAAJ,Antonia Larrain,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,1177,
15469411678705648791,cKOW8IEAAAAJ,Javier Corvalán,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,1176,sociología educación 
15469411678705648791,V0s0uYUAAAAJ,Juan Carlos Skewes,Profesor de Antropología (UAH),uahurtado,uahurtado.cl,913,antropología del ambiente patrimonio educación superior exclusión 
15469411678705648791,BhlHihoAAAAJ,Sebastian Ureta,"Departamento de Sociología, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,901,Science and technology studies Environmental humanities 
15469411678705648791,L2YpgysAAAAJ,Viviana Galdames,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,895,didáctica del lenguaje lengua materna y segundas lenguas educación intercultural bilingüe 
15469411678705648791,ROCQFAUAAAAJ,Mauricio Castillo-Vergara,"Facultad de Economía y Negocios, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,869,creativity entrepreneurship innovation SMEs 
15469411678705648791,zUMMuRYAAAAJ,Cristian Geldes,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,813,strategy marketing innovation and sustainability 
15469411678705648791,Xj906M4AAAAJ,Fernando Crespo,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,778,Mathematical Modelling Analytics Operational Research Data Mining Statistics 
15469411678705648791,q10ThmQAAAAJ,Marcela Perticara,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,718,economía desarrollo económico economía laboral 
15469411678705648791,q3ca8v4AAAAJ,Juan Manuel Garrido Wainer,"Profesor de Filosofía, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,654,Filosofía contemporánea Filosofía de las ciencias 
15469411678705648791,3nSJIm0AAAAJ,andrea ruffinelli,académica facultad educación universidad alberto hurtado,uahurtado,uahurtado.cl,585,educación formación inicial docente 
15469411678705648791,quz7kLgAAAAJ,María Paola Sevilla,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,581,Educación Técnica segregación y estratificación escolar 
15469411678705648791,OjP1gWgAAAAJ,Nicolas Fleet,"Departamento de Sociología, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,557,sociología teoría social sociología política sociología de las profesiones educación superior 
