id_region;region
Western Europe;Western Europe
Eastern Europe;Eastern Europe
Northern Africa;Northern Africa
Central Africa;Central Africa
Southern Africa;Southern Africa
Northern America;Northern America
Latin America;Latin America
Middle East;Middle East
Asiatic Region;Asiatic Region
Pacific Region;Pacific Region
