id_gs,idco,nombre_coautor,dominio,cargo
NXY-GuMAAAAJ,c5pt62EAAAAJ,Mykola Seredych,Dirección de correo verificada de drexel.edu,"Research Associate, Drexel University"
NXY-GuMAAAAJ,XnW2bgNfwdUC,Robert Hurt,Dirección de correo verificada de brown.edu,Brown University
NXY-GuMAAAAJ,u_kBdzAAAAAJ,Litza Halla Velazquez-Jimenez,Dirección de correo verificada de iingen.unam.mx,"Investigador Posdoctoral, Instituto de Ingenieria/UNAM"
NXY-GuMAAAAJ,_U7ZYooAAAAJ,Kilver J Campos,Dirección de correo verificada de ivic.gob.ve,Ph.D. Student
NXY-GuMAAAAJ,yfvjUr8AAAAJ,Hermenegildo Garcia,Dirección de correo verificada de qim.upv.es,Universitat Politecnica de Valencia
NXY-GuMAAAAJ,G1ZpVy4AAAAJ,Po Shan Poon,Dirección de correo verificada de udt.cl,University of Concepcion
NXY-GuMAAAAJ,DimQJX4AAAAJ,Maibelin Rosales,Dirección de correo verificada de amtc.uchile.cl,University of Chile
NXY-GuMAAAAJ,lvbQED0AAAAJ,Joaquin L. Brito,Dirección de correo verificada de ivic.gob.ve,"Emeritus Professor of Research, I.V.I.C."
NXY-GuMAAAAJ,BSOw3qUAAAAJ,Jose Rene Rangel Mendez,Dirección de correo verificada de ipicyt.edu.mx,Instituto Potosino de Investigación Científica y Tecnológica A.C
NXY-GuMAAAAJ,v4hRgSMAAAAJ,Silvania Lanfredi,Dirección de correo verificada de fct.unesp.br,"Professor Assistente Doutor, Universidade Estadual Paulista, Faculdade de Ciências e Tecnologia"
NXY-GuMAAAAJ,nlsj4egAAAAJ,Teresa J. Bandosz,Dirección de correo verificada de ccny.cuny.edu,The City College of New York
NXY-GuMAAAAJ,3Tp6YUwAAAAJ,Marcos Augusto Lima Nobre (M. A. L....,Dirección de correo verificada de pq.cnpq.br,"Prof. Dr., Departamento de Fisica, Univ Estadual Paulista, FCT, UNESP, Campus Presidente Prudente"
NXY-GuMAAAAJ,d5fY-0sAAAAJ,Juan Carlos Hernandez Garrido,Dirección de correo verificada de uca.es,Departamento de Ciencia de los Materiales e Ingeniería Metalúrgica y Química Inorgánica. Universidad
NXY-GuMAAAAJ,aBUj0aEAAAAJ,Leonardo Palmisano,Dirección de correo verificada de unipa.it,"Full Professor of Chemistry, FRSC - University of Palermo, Italy"
NXY-GuMAAAAJ,buP0argAAAAJ,Giuseppe Marcì,Dirección de correo verificada de unipa.it,University of Palermo
NXY-GuMAAAAJ,ombeh9cAAAAJ,Magda Titirici,Dirección de correo verificada de imperial.ac.uk,Imperial College London
NXY-GuMAAAAJ,UJC6DlYAAAAJ,sixto malato,Dirección de correo verificada de psa.es,Prof. of Research. Plataforma Solar de Almeria
NXY-GuMAAAAJ,gf3BTp8AAAAJ,Robert Pietrzak,Dirección de correo verificada de amu.edu.pl,"Professor of Chemistry, Adam Mickiewicz University in Poznań"
NXY-GuMAAAAJ,F5ZywcAAAAAJ,Alain CELZARD,Dirección de correo verificada de univ-lorraine.fr,"Head of Department, Université de Lorraine, Professor of Materials Science"
NXY-GuMAAAAJ,l9wNywsAAAAJ,AVELINO CORMA CANOS,Dirección de correo verificada de itq.upv.es,"Instituto de Tecnología Química, Universitat Politècnica de València-Consejo Superior de"
NXY-GuMAAAAJ,c5pt62EAAAAJ,Mykola Seredych,Dirección de correo verificada de drexel.edu,"Research Associate, Drexel University"
