Autor	Género	Total de Artículos
JARPA, CECILIA	Mujer	1
BORIE-ECHEVARRIA, EVELYN	Mujer	9
BAHAMONDES-AVILA, CARLOS	Hombre	9
KEUSCH, F.	-	1
KOCH-VILLEGAS, GISELLE	Mujer	1
SILVA-PAVEZ, EDUARDO	Hombre	9
PELIOWSKI DOBBS, AMARI	-	1
BONARDD, S.	Hombre	7
VASQUEZ MIRANDA, FABIOLA	Mujer	1
GARRIDO, MAURICIO	Hombre	1
GUZMAN-LASTRA, FRANCISCA	Mujer	7
MONTALVA, NICOLAS	Hombre	7
REYES, JAVIER	Hombre	1
CANCINO-BAIER, D.	Hombre	1
LETELIER, JOAQUIN	-	3
DIAZ-TORRES, MAURICIO	Hombre	1
MOLINA-ROCO, MAURICIO	Hombre	1
HUANEL, OSCAR R.	Hombre	1
VASQUEZ, ALEJANDRA	Mujer	2
SALVADORES, NATALIA A.	Mujer	12
CATALAN, ROMINA J.	Mujer	3
RIVERA-ROCABADO, DANIELA SUZANA	Mujer	8
KEYES, KATHERINE	Mujer	1
MURGAS, LEANDRO	Hombre	3
CRAVEN, DYLAN	Hombre	38
GALBAN-MALAGON, C.	Hombre	26
SANTIBANEZ VARNERO, CLAUDIA	Mujer	1
FIGUEIREDO, ANA	Mujer	4
WILLIS, MARGARET	Mujer	22
CIFUENTES, RENATO	Hombre	2
ALDEA SANCHEZ, PATRICIA	Mujer	7
CATALAN-FIGUEROA, JOHANNA	Mujer	1
LOTURCO, IRINEU	-	1
PAYDAR, MOHAMMAD	Hombre	13
FERNANDEZ-RAMIRES, RICARDO	Hombre	8
LOPEZ-CARRETERO, ANTONIO	Hombre	2
JARAMILLO, TREICY	-	1
CASTELLON-ZIRPEL, MARIA LORETO	Mujer	3
MAYORGA-MALDONADO, JAIME	Hombre	1
FUENZALIDA, CARLOS	Hombre	1
ALLEL, KASIM	Hombre	6
GONZALEZ-AGUEERO, MAURICIO ALFREDO	Hombre	1
MOYA, PATRICIA	Mujer	4
MARTIN GONZALEZ, JORGE	Hombre	1
LIMA, JOSIVALDO	-	1
ARAUJO, TIMOTEO	Hombre	1
SEPULVEDA-HERMOSILLA, GONZALO	Hombre	3
WAGEMANN, ELIZABETH	Mujer	7
SOLAR-HORMAZABAL, ORIELLE	-	3
SARMIENTO-FLORES, SEBASTIAN	Hombre	1
TORO, SERGIO Y.	Hombre	4
CASTRO-SEPULVEDA, MAURICIO	Hombre	1
ECHENIQUE-SUBIABRE, ISIDORA	Mujer	4
VIDAL, ROBERTO	Hombre	2
THUMALA, DANIELA	Mujer	1
ASSAR, RODRIGO	Hombre	1
HURTADO, JOHN J.	Hombre	1
CASTILLO-MARTINEZ, JAVIERA PAZ	Mujer	5
RAMOS, T.	Hombre	6
RIOS-MORALES, MELANY YANINA	Mujer	1
HERNANDEZ-FORTUNO, DENISSE ANDREA	-	2
DE GREGORIO, CRISTIAN	Hombre	1
GARCIA-BLOJ, BENJAMIN A.	Hombre	8
BORGEL, LAURA	Mujer	2
SCHULTHESS, MELISSA	Mujer	5
OLIVEIRA, VALMIR MARTINS	Hombre	2
UGALDE, JUAN A.	Hombre	8
AGUILA, LUIS	Hombre	2
ASTORGA, FRANCISCA	Mujer	5
REBOLLEDO-LOPEZ, DANIELA VICTORIA	Mujer	1
