Autor	Género	Total de Artículos
ESCOBAR CONTRERAS, MA CRISTINA	-	1
CESPEDES NAVA, VIRGINIA	Mujer	1
GARCIA-HERMOSO, ANTONIO	Hombre	9
ADUNKA, MICHELLE L.	Mujer	4
ARCE, R.	Mujer	3
JIMENEZ, ALVARO	Hombre	1
ROZAS BUGUENO, JOAQUIN	Hombre	1
MACHUCA-BELTRAN, GUILLERMO EDUARDO	Hombre	5
TORRES, MARIETT	-	9
VERA, LUCIANO	Hombre	1
CASTILLO-FRANZ, ERICK RODRIGO	Hombre	1
MACKAY, MARIA PALACIOS	Mujer	1
DEL CASTILLO OYARZUN, MARIO	Hombre	1
NANCUCHEO CUEVAS, IVAN PATRICIO	Hombre	1
GONZALEZ, DANIELLA	Mujer	2
COLIPAI-AGUILA, CAMILA	Mujer	2
VERGARA, MARCELA	Mujer	3
OYARZUN, PATRICIO	Hombre	24
ALARCON, LISSETE	-	1
CALABRIANO, GUILLERMO	Hombre	1
BEJARANO, JORGE	Hombre	1
SAAVEDRA, FRANCISCO	Hombre	1
MOYA, J.	Mujer	1
VALDES, MACARENA	Mujer	1
CASTILLO-SILVA, ALEJANDRO	Hombre	1
SEGOVIA RIQUELME, CAROLINA	Mujer	1
VIDAL, MABEL	Mujer	2
TAPIA, DIEGO	Hombre	3
ZAMORA, CONSTANZA	Mujer	1
CACERES-VERSCHAE, ALBANO	Hombre	2
CARRASCO, RAUL	Hombre	1
BURGDORF, MARTIN J.	Hombre	1
VERGARA-GONZALEZ, LUIS	Hombre	6
DIAZ, JAIME	Hombre	1
VARAS-GODOY, MANUEL	Hombre	37
FINGER, SEBASTIAN	Hombre	1
CANALES, CHRISTIAN	Hombre	7
MARTINEZ, DAVID	Hombre	7
VELOZ-PEREZ, JORGE JESUS	Hombre	2
UGARTE, CARLA	Mujer	17
DORNER PARIS, ANITA	Mujer	2
ACOSTA-DIGHERO, ROBERTO	Hombre	4
RODRIGUEZ-NUNEZ, IVAN	Hombre	40
VILLARROEL, GREGORY	Hombre	2
LEICHTLE, JORGE	Hombre	1
FRACALOSSI, IGOR	Hombre	1
COVARRUBIAS-CISTERNAS, AMBART ESTER	-	10
LUARTE ROCHA, CRISTIAN EDUARDO	Hombre	2
ESPINOZA ORIHUELA, CESAR	Hombre	1
COELHO-CARO, PABLO A.	Hombre	11
DONOSO, VICTORIA	Mujer	1
ARCOS, SEBASTIAN	Hombre	4
ECHENIQUE, JAVIER	Hombre	1
SILVA-PAVEZ, EDUARDO	Hombre	4
PINEDA, NICOLAS	Hombre	2
PEREZ-URRUTIA, NELSON	Hombre	6
ALVAREZ-RICARTES, NATHALIE	Mujer	5
IARKOV, ALEX	Hombre	11
DIAZ-GARCIA, VICTOR	Hombre	8
BRANDER, FRANCISCA	Mujer	1
TORRES, JAIRO	Hombre	3
MOYA-BELTRAN, ANA	Mujer	2
RECIO-SANCHEZ, GONZALO	Hombre	17
DURAN-AGUERO, SAMUEL	Hombre	1
LINARES-FLORES, CRISTIAN	Hombre	1
VARGAS, MANUEL	Hombre	17
AYBAR-LAGOS, MARCELO	Hombre	2
ABARCA ROZAS, BASTIAN AARON	Hombre	5
SCHWARZE FIELDHOUSE, MATHIAS WILHELM	Hombre	1
CONTRERAS BERTOLO, RODRIGO IGNACIO	Hombre	1
RODRIGUEZ HERNANDEZ, PABLO ANDRES	Hombre	1
ROA ARAVENA, IVAN OSVALDO	Hombre	1
CAMPANINI-SALINAS, J.	Hombre	9
SOZA-RIED, CRISTIAN	Hombre	3
DAHER-GRAY, MARIANNE	Mujer	6
VALLADARES-IDE, DENISSE	-	1
QUINTANILLA-GOMEZ, RODRIGO ARTHUR	Hombre	1
BARRERA-ALVARADO, MARIA JOSE	Mujer	18
PADILLA, PAULA	Mujer	2
AUBERT, JOSEFINA	Mujer	5
DURAN, DORIS	Mujer	14
REYES, CHRISTOPHER	Hombre	1
BENAVIDES, CAROLINA	Mujer	1
IRARRAZAVAL, TAMARA	Mujer	1
FIERRO-MONDACA, OCTAVIO ARIEL	Hombre	1
LACOSTE ADUNKA, MICHELLE MALEN	Mujer	1
VALLADARES-VEGA, MACARENA ANDREA	Mujer	1
LAGOS, CARLOS	Hombre	35
DONOSO, RODRIGO	Hombre	1
CELIS, BERNARDITA	Mujer	2
FERNANDEZ, LEILA	Mujer	1
TAPIA-ROJAS, CHERIL CECILIA	-	20
RIVEROS-VALDES, ANDRES	Hombre	26
GOMEZ, CAMILA	Mujer	1
CAMPOS, FERNANDO	Hombre	1
ALEXGARRIDO-MENDEZ	-	1
LOPEZ-KOSTNER, FRANCISCO	Hombre	1
MONTECINOS, V.	Mujer	1
SANHUEZA, IGNACIO	Hombre	2
MARAMBIO, LEONOR	Mujer	1
LUARTE R, CRISTIAN	Hombre	1
GUERRERO W, MARION THAMARA	Mujer	1
GUERRERO WYSS, MARION THAMARA	Mujer	1
ANGEL MANSILLA, MIGUEL	Hombre	5
DARRAIDOU GARCIA-HUIDOBRO, MATIAS	Hombre	1
LOZIC PAVEZ, MARIA KARINA	Mujer	1
GALINDO, MARITZA	Mujer	2
ANTUNEZ, C.	-	1
VIZCARRA, BERTA	Mujer	1
FIERRO, ROBERTO	Hombre	3
BUSTAMANTE-ALISTE, PABLO	Hombre	1
SILVA, JUAN	Hombre	17
BARRAZA, NICOLAS	Hombre	1
OLGUIN, CARLOS	Hombre	1
MARTINEZ SALAZAR, CRISTIAN	Hombre	1
CARALT, DAVID	Hombre	11
ESPARZA, VERONICA	Mujer	1
GOMEZ BURGOS, ERIC	Hombre	2
MORAN, CECILIA	Mujer	1
RIVEROS, RODRIGO	Hombre	1
ROCK NUNEZ, MARIA ESPERANZA	Mujer	1
HERRERA-VALENZUELA, TOMAS	Hombre	17
SADARANGANI, KABIR P.	Hombre	28
DIAZ-VEGAS, ALEXIS R.	Hombre	1
PRADO, CAROLINA	Mujer	6
ROTAROU, ELENA SONIA	Mujer	9
SANDOVAL-HEVIA, GABRIELA DANIELA	Mujer	2
ECHEVERRIA-MORAN, VALENTINA	Mujer	65
SALAZAR MUNOZ, MIGUEL	Hombre	1
AMADOR, C.	Hombre	2
CANDIA JOHNS, PRISCILA	Mujer	4
SILVA OCAMPO, PAULO	Hombre	5
OYARCE MERINO, KARINA	Mujer	1
CERDA-TRONCOSO, CRISTOBAL	-	6
SHAUGHNESSY, RONAN	Hombre	1
OBREGON, ANA MARIA	Mujer	28
MENDOZA, CRISTHIAN	-	15
CATALAN, PAMELA	Mujer	2
SOTOMAYOR, CLAUDIO	Hombre	1
SOTO-GARRIDO, RODRIGO	Hombre	6
STRICKLER, A. S.	-	1
CHARRIS, R.	-	1
CANDIA, T.	-	1
WIRSCHING, CAMILA	Mujer	1
AZOCAR-AEDO, L.	Mujer	8
BENAVENTE, MARIAVICTORIA	-	4
GARRIDO-MENDEZ, ALEXIS	Hombre	3
PONTIGO-VASQUEZ, JUAN PABLO	Hombre	15
VARAPRASAD, KOKKARACHEDU	-	16
AMOROSO, ALEJANDRO	Hombre	4
AGUAYO-BUSTOS, MAICHEL MIGUEL	-	9
AMEZAGA-AVITIA, ANA CRISTINA	Mujer	1
LAGOS-ELGUETA, MACARENA	Mujer	1
SAAVEDRA-MADRID, MONSERRAT	Mujer	1
SILVA-REYES, PABLO	Hombre	1
CONTRERAS-TRIGO, BRAULIO IVAN	Hombre	9
TIAN, WEI	-	1
SILVA, TOMAS	Hombre	1
CODJAMBASSIS SCHNETTLER, ANA	Mujer	1
VILLANUEVA-ARAYA, HERNAN ENRIQUE	-	1
TRUFFA-MONTENEGRO, MIGUEL ADOLFO	Hombre	1
BRAVO-ZEHNDER, M. M.	-	1
VALENZUELA-BEZANILLA, DANIELA LUCIA	Mujer	1
TOLEDO, T.	-	1
BARAKE, F.	-	1
LUARTE-ROCHA, CRISTIAN EDUARDO	Hombre	50
RETAMAL, CLAUDIO	Hombre	13
CORTES, PRISCILLA	Mujer	1
MARACAJA-COUTINHO, VINICIUS	Hombre	1
FONSECA-MOLINA, JUAN	Hombre	3
ALEJANDRA TORRES-MARTINEZ, PILAR	Mujer	1
ALEJANDRA BARRIOS-PENNA, CAROLINA	Mujer	1
FERNANDEZ-SAGREDO, MARCELO	Hombre	4
CASTRO, MATIAS	Hombre	1
WERNER CARCAMO, ERWIN	Hombre	1
ROSEMBLATT, MARIANA V.	Mujer	6
DIAZ-CASTRO, FRANCISCO	Hombre	2
MANZANO ITURRA, KAREN I.	Mujer	1
MURILLO, FERNANDO	Hombre	1
RESTREPO RIVERA, JOSE MAXIMILIANO	Hombre	1
SOTO CARO, CARMEN PAZ	Mujer	1
CONTRERAS, CLAUDIO	Hombre	1
SOTO, ANDRES	Hombre	1
ZAROR-HINOJOSA, SEBASTIAN ANDRES	Hombre	1
ZAROR-SANCHEZ, CARLOS ELIAS	Hombre	21
RUIZ-PARRA, MACARENA	Mujer	1
TORRES RODRIGUEZ, ANGELICA MARIA	Mujer	1
SAEZ GALLARDO, JULIO	Hombre	1
JARA, CLAUDIA	Mujer	10
PERRY, MARIANA	Mujer	9
SANDOVAL-OPORTO, PAMELA YOHANA	Mujer	1
SARABIA-VALLEJOS, MAURICIO A.	Hombre	8
SEGOVIA, VICTORIA	Mujer	1
QUINTANILLA-ESPINOZA, ANGIE	Mujer	1
MEDINA, CRISTIAN	Hombre	4
AEDO, ALEJANDRO	Hombre	1
MORA-MELLADO, JACOB RODRIGO	Hombre	3
ROJAS ALLENDE, DANIELA	Mujer	1
FIGUERAS DIAZ, FRANCISCA	Mujer	1
SKARMETA-PEREZ, NICOLAS PATRICIO	Hombre	4
LIBUY-HIDALGO, MARCELA	Mujer	1
SZITA C, PAOLA	Mujer	1
SAN MARTIN-HENRIQUEZ, SEBASTIAN SAN	Hombre	2
HARO-RIVERA, PABLO ANDRES	Hombre	1
BENAVIDES, SERGIO	Hombre	5
LIEMPI-NECUL, LUIS	Hombre	2
LUIS GARRIDO, JOSE	Hombre	2
MALDONADO-ACOSTA, NICOLAS EMMANUEL	Hombre	1
SILVA, SEBASTIAN	Hombre	3
VELASQUEZ, KAREN	Mujer	1
GAYAN, BENJAMIN	Hombre	1
VILLAGRA, FRANCISCA	Mujer	1
VERGARA, LUIS	Hombre	4
PONCE-LAROSA, CARLOS	Hombre	1
GONZALEZ-CATRILELBUN, SEBASTIAN	Hombre	1
CONTRERAS, MARCELO	Hombre	1
HERMOSILLA, JUAN	Hombre	6
ELGUETA, CAROLINA	Mujer	1
CID, GABRIEL	Hombre	14
CANO-MONTOYA, JOHNATTAN	-	10
CONTRERAS-DUARTE, SUSANA	Mujer	4
WESTERMEIER, FRANCISCO	Hombre	11
FELIPE-BIANCHETTI-SAAVEDRA, ANDRES	Hombre	10
YUNGE-HIDALGO, WILMA	Mujer	4
HELMRICH-VON ELGOTT PINNINGHOFF, MARIA ANA	Mujer	1
DIAZ NARVAEZ, VICTOR	Hombre	1
OYARZUN-SALAZAR, RICARDO FELIPE	Hombre	2
ABAD-COLIL, FELIPE	Hombre	6
VON OETINGER G, ASTRID	Mujer	2
GONZALEZ-HIGUERA, CESAR ALIRO	Hombre	3
SALAZAR, CAROLINA	Mujer	1
FUENTEALBA, FABIOLA	Mujer	3
DIAZ-GONZALEZ, FERNANDO	Hombre	1
CORREA-GALAZ, JUANA PAOLA	Mujer	10
OLIVEROS-MATUS, PATRICIA	Mujer	4
ECHEVERRIA, FLORENCIA	Mujer	5
HERMOSILLA, VIVIANA E.	Mujer	1
CERIC, FRANCISCO	Hombre	2
RIVERA RESTREPO, JOSE MAXIMILIANO	Hombre	1
GIL, CARLOS	Hombre	1
CORREA, NESTOR	Hombre	1
AYALA, RICARDO A.	Hombre	3
CEDIEL GIRALDO, GUSTAVO	Hombre	1
