Autor	Género	Total de Artículos
TORRES, CARLOS E.	Hombre	1
SAEZ, GUIDOBETH	-	4
DIAZ-RIQUELME, PABLO IVAN	Hombre	30
ROJAS-TORRES, JAVIER	Hombre	5
IBIETA-TRONCOSO, ANDREA IGNACIA	Mujer	21
FUENTEALBA JARA, CARMEN GLORIA	Mujer	1
AGUILERA-NONQUEPAN, PAULA ALEJANDRA	Mujer	27
CESPEDES, CAMILO	Hombre	2
ALMONACID-CARDENAS, LEONARDO IVAN	Hombre	14
RIVAS CEA, MARCELO	Hombre	1
MORALES, MELANIE	Mujer	1
SARACOSTTI, MAHIA	-	31
CORDOVES SANCHEZ, MINERVA ANDREINA	Mujer	6
VALDES, FREDDY	Hombre	3
HILDAGO-OPORTO, PAMELA	Mujer	1
MARTINEZ, R.	-	1
CORTES-ALBAYAY, CARLOS	Hombre	1
REYES, FELIPE	Hombre	1
PARRA-DIAZ, JOEL	Hombre	6
CUEVAS, MAGDALENA	Mujer	3
VALENZUELA, P.	Hombre	1
VASQUEZ, HUGO	Hombre	1
FLORES, PABLO M.	Hombre	2
FLORES, M. A.	Hombre	1
OLIVARES-AISING, DANIELA	Mujer	3
CAMPOS, VALERIA	Mujer	1
RODRIGUEZ, BARBARA X.	Mujer	1
ORTIZ-CONTRERAS, JORGE	Hombre	1
NAVAS, MACARENA	Mujer	1
PARADA-IBANEZ, MARIBEL	Mujer	12
LETELIER, VIVIANA	Mujer	41
HENRIQUEZ-JARA, BASTIAN I.	Hombre	4
MANOSALVA, MIGUEL	Hombre	2
PARODI, CAMILA	Mujer	1
DOCEA, ANCA OANA	Mujer	1
ELGUETA, SEBASTIAN	Hombre	10
ESPINOSA RAMON, RIVERA	-	1
SOTO VENEGAS, ALVARO	Hombre	1
FUENTES-GARCIA, ALEJANDRA	Mujer	19
ABARZUA, MACARENA	Mujer	1
BELTRAN LISSABET, JORGE	Hombre	2
EFFER, BRIAN	Hombre	12
DEANA, NAIRA FIGUEIREDO	Mujer	50
ABURTO, C.	Mujer	2
GARCIA, JUAN C.	Hombre	1
NAVARRETE GONZALEZ, CAROLINA	Mujer	1
TAPIA-MONSALVES, CAROLA	Mujer	4
FERNANDEZ-AGUILERA, RODRIGO EDUARDO	Hombre	1
AHUMADA, DANAY	Mujer	1
VALENZUELA-TOLEDO, PABLO	Hombre	3
BARRIENTOS, RICARDO J.	Hombre	3
MANOSALVA, NIXSON	-	2
OLIVARES-FERRETTI, PAMELA	Mujer	6
BRAVO-LECHUGA, CLAUDIO IGNACIO	Hombre	2
JARA, PAULINA	Mujer	2
GOMEZ, A.	Mujer	1
DELGADO, ANDREA	Mujer	1
ROSAS, EDUARDO	Hombre	5
JARAMILLO, A. F.	Hombre	22
NAVIA, R.	Hombre	97
POBLETE-GRANT, PATRICIA	Mujer	15
GAETE, MONICA	Mujer	2
PACHECO-PAILAHUAL, STEFANY	-	1
GARCIA, NAYELY	-	6
PEREZ-ROJAS, FRANCISCO JAVIER	Hombre	3
ALVEAL-MELLADO, D.	-	4
CONEI, DANIEL	Hombre	37
GUERRERO, MARCO	Hombre	16
VIDAL SEGUEL, NICOLAS ENRIQUE	Hombre	1
NAHUELCURA MILLAN, NESTOR EUSEBIO	Hombre	1
ORTEGA SILVA, MARCELO EDUARDO	Hombre	1
AGUILAR, CRISTOBAL N.	Mujer	8
HENRIQUEZ ALVEAR, LUIS	Hombre	3
MIERES CHACALTANA, MANUEL SANTIAGO	Hombre	1
CORSINI, GILDA	Mujer	6
CHUHUAICURA, PRISCILA	Mujer	13
CRAVERO, ANIA	Mujer	39
AREVALO, FABIOLA	Mujer	5
SANCHEZ-SABATE, RUBEN	Hombre	9
MARDONES, A.	Hombre	1
MATUS, FRANCISO	-	1
ORTEGA, F.	-	1
CASTILLO, ERIK HUGO CABRERA	Hombre	2
GALEAS, PATRICIO	Hombre	7
PROVOSTE, ROSA	Mujer	1
ALIAGA, ISABEL	Mujer	1
PACHECO, DANIELA	Mujer	1
SACKUR, JEROME	Hombre	1
BARRIENTOS, LETICIA	Mujer	45
LIZANA, PAULA	Mujer	5
MIRANDA-ZAPATA, EDGARDO	Hombre	61
EXEQUEL PEREZ-VILLALOBOS, CRISTHIAN	-	3
CAMPOS, CLAUDIA	Mujer	1
RETAMAL, JAVIER	Hombre	6
BREBI-MIEVILLE, PRISCILLA M.	Mujer	84
MELI, PAULA	Mujer	32
SAEZ, L.	-	4
ZANELLA, LOUISE	Mujer	16
ILI-GANGAS, CARMEN GLORIA	Mujer	67
SANCHEZ, EUSEBIO	Hombre	1
ALBAYAY, JAVIER	Hombre	3
AGUILAR, GLORIA	Mujer	3
ACUNA, JACQUELINNE J.	Mujer	16
MELGAREJO, CARLOS	Hombre	1
GAJARDO-BURGOS, RUBEN	Hombre	2
NAZAR, GABRIELA	Mujer	1
MACHUCA-BELTRAN, GUILLERMO EDUARDO	Hombre	1
CASTILLO-FRANZ, ERICK RODRIGO	Hombre	1
QUIROZ, GUISSEA	-	1
RIVERA-MENDOZA, FERNANDO	Hombre	6
MORENO, V.	Mujer	1
JATIVA MARINO, E.	-	1
MUNOZ-NAVARRO, ARIEL ANDRES	Hombre	2
BUSTAMANTE, FERNANDO	Hombre	4
GONZALEZ, LUIS	Hombre	1
PAZ, ERWIN	Hombre	13
MORANTE, LAURA	Mujer	3
ROJAS, JUAN	Hombre	2
NICHOLSONO, CHRISTOPHER	Hombre	1
PARDO, RICARDO	Hombre	1
GUERRERO, CLIVIA	Mujer	2
BARANCHUK, ADRIAN	Hombre	1
ASTETE, N.	Hombre	9
CANUILLAN, C.	-	1
CATRILEO, E.	-	2
MIRANDA, R.	-	3
GONZALEZ GOMEZ, YESSICA	-	3
RODRIGUEZ, RODRIGO	Hombre	4
FINCHEIRA-ROBLES, PAOLA	Mujer	37
ARROYO-SALVO, CAMILA	Mujer	1
SANHUEZA, FRANCISCO	Hombre	1
TREULEN, FAVIAN	Hombre	14
PENA, JHONATAN	-	1
SAAVEDRA, S.	-	2
SAGREDO, EDUARDO A.	Hombre	1
MORALES, GLADYS I.	Mujer	57
ALARCON, FELIPE	Hombre	1
VELASQUEZ, IVAN	Hombre	5
SOTO, MICHAEL	Hombre	1
MERINO, WALDO	Hombre	5
CANCINO, D.	Hombre	4
SAEZ, CAMILA	Mujer	1
PERUCCI GONZALEZ, CRISTIAN	Hombre	3
JATIVA-MARINO, EDGAR	Hombre	6
ANCAN, OSCAR	Hombre	6
PADILLA, ARTURO	Hombre	10
PARRAGUEZ, JUAN	Hombre	1
PLANA, JUAN	Hombre	2
NAVARRO, CLAUDIO	Hombre	1
AROS-BELTRAN, PATRICIA	Mujer	1
SALAZAR-QUINTANA, ITELIER	-	1
OSSES, FREDDY	Hombre	1
ORTEGA, RODRIGO	Hombre	1
GATICA, NELSON	Hombre	3
REYES VELASQUEZ, CARLOS	Hombre	1
HERNANDEZ, P.	-	1
ROMAN-FIGUEROA, CELIAN	-	7
LUCERO, CLAUDIA M.	Mujer	2
DIEZ, EDUARDO	Hombre	21
BARCHIESI, CLAUDIA	Mujer	6
CORSINI, G.	Hombre	2
DIAZ, JAIME	Hombre	51
QUINTANO MENDEZ, FELIPE	Hombre	1
