Autor	Género	Total de Artículos
SCHALPER, KURT A.	Hombre	5
CAMPODONICO, R.	-	1
BLANCO, ESTELA	Mujer	2
CASTRO, MARIO A.	Hombre	1
BOETTIGER, CAMILA	Mujer	1
TAPIA, L. F.	-	1
ERRAZURIZ, JOAQUIN	Hombre	12
VASQUEZ, ABEL E.	Hombre	1
KOPPMANN, A.	Hombre	1
KHEIR, FAYEZ	Hombre	1
IRURETAGOYENA-BRUCE, BARBARA	Mujer	5
YERUVA, KARTHIK	Hombre	1
MURATORE, FRANCESCO	Hombre	1
RODRIGUEZ-OROZ, DELIA	Mujer	4
CHAVEZ BUSTAMANTE, FELIPE O. G.	Hombre	2
GAZITUA-LOPEZ, MARCELA IVONNE	Mujer	4
VERA-TOBAR, TAMARA	Mujer	1
LIRA, ISIDORA	Mujer	1
ORELLANA, VALENTINA	Mujer	1
ZAPATA, P.	Hombre	1
CAMPOS-ALVAREZ, MAURICIO	Hombre	1
CABEZA, C.	Mujer	1
SACKUR, JEROME	Hombre	1
ZUNIGA, PAULO	Hombre	1
LOBOS, LORENA	Mujer	1
AREVALO, NICOLAS J.	Hombre	1
ROJAS, CRISTOBAL G.	Hombre	1
ARJONA, RODOLFO J.	Hombre	1
ALCAINO, CONSTANZA A.	Mujer	1
ETCHEBERRY, SOPHIA	Mujer	1
MASOLI, DANIELA	Mujer	1
EXEQUEL PEREZ-VILLALOBOS, CRISTHIAN	-	9
ROQUE, JORGE	Hombre	5
CADIZ, FERNANDO	Hombre	1
OBACH, ALEXANDRA	Mujer	43
DIAZ, D.	Hombre	1
PETERS, ANNE	Mujer	1
HUDSON FRIAS, E.	-	1
MEZZERA REGULES, J.	-	1
MORENO, A.	-	1
BAAR, ALEJANDRO	Hombre	1
BESOMI, JAVIER	Hombre	5
TOBAR, CARLOS	Hombre	3
ANTONIO UGALDE, JUAN	Hombre	1
BAHAMONDES, PAZ	-	1
LATORRE, RODRIGO	Hombre	1
ROJAS, JUAN	Hombre	2
WALKER, BERNARDITA	Mujer	1
PAIVA, ENRIQUE	Hombre	1
INSUNZA, ALVARO	Hombre	1
MARIN B, VERONICA	Mujer	1
RYBERTT, VIVIAN	Mujer	1
BRICENO, ANA M.	Mujer	4
DONOSO, PASCUALA	Mujer	1
PALACIOS, CAROLINA	Mujer	1
CEA, LORENA	Mujer	1
OLAVARRIA, VERONICA V.	Mujer	1
RAVEAU, MARIA P.	Mujer	4
MCINTYRE, A.	-	1
RAMIREZ-ZAMORA, ADOLFO	Hombre	1
YAMAMOTO, M.	Mujer	3
RAMOS, C.	Hombre	1
SAGREDO, EDUARDO A.	Hombre	1
IVANOVIC, DANIZA M.	-	2
BILLEKE, PABLO B.	Hombre	41
DAVID-BARRETT, TAMAS	Hombre	7
SILVA, VERONICA	Mujer	3
REBOLLEDO-JARAMILLO, B.	Hombre	15
MARTINEZ, RODRIGO	Hombre	2
LOPEZ, MARIO	Hombre	2
PIPKIN, MAURICIO	Hombre	1
MACHUCA, TIAGO	Hombre	1
BULLEMORE, JORGE	Hombre	4
PEREZ-MESSINA, IGNACIO	Hombre	2
ALMEIDA, JUAN	Hombre	9
PATRICIO, RAMIREZ	-	1
ROBERTO, MELIPILLAN	-	1
RAMON, FLORENZANO	-	3
CASTRO, PATRICIA	Mujer	15
VALDIVIA, FELIPE	Hombre	1
QUINTANILLA-GONZALEZ, MARIA ELENA	Mujer	2
RECULE, FRANCISCA	Mujer	10
DROBNY, SAMMY	Hombre	1
OYARZUN, JUAN E.	Hombre	1
TERESA SCOTT, M.	-	2
PEDRAZA, PAULINA L.	Mujer	1
FOSSA, PABLO	Hombre	26
DE LA  PUERTA, SOFIA	Mujer	5
DE SOUZA, MONICA	Mujer	1
OBERPAUR, BERND	Hombre	1
VIVENT, MACARENA	Mujer	1
MAURO, ALEJANDRO	Hombre	2
CHEPO CHEPO, MACARENA	Mujer	13
CALLIGARIS, SEBASTIAN	Hombre	1
JOSE OJEDA, MARIA	Mujer	1
QUIROZ, SOFIA	Mujer	1
CARRENO, CRISTINE	Mujer	1
DIAZ PATINO, JUAN CARLOS	Hombre	1
ALEGRIA BOBADILLA, JULIA	Mujer	1
LEAL MARTINEZ, EMA	-	1
CHONG MEDEL, GUILLERMO	Hombre	1
RAMOS GOMEZ, G. CRISTOBAL	-	1
CANDIA-CASTRO VALLEJO, CRISTIAN ESTEBAN	Hombre	13
RODRIGUEZ-SICKERT, CARLOS	Hombre	22
SOMMA GONZALEZ, NICOLAS MANUEL	Hombre	2
SANHUEZA R, ARIEL	Hombre	1
SEPULVEDA, CAMILA	Mujer	1
TORRES, M. J.	Mujer	1
MACIAS-VALLE, LUIS F.	Hombre	1
GOMEZ, CARLOS	Hombre	1
LARRAIN, CRISTIAN	Hombre	2
SLACHEVSKY CHONCHOL, ANDREA	Mujer	1
LEYTON, VICTOR	Hombre	4
FERTILIO, BARBARA	Mujer	2
GARCIA, MARISOL	Mujer	1
VARAS-PALMA, MONICA CECILIA	Mujer	1
ZIEGLER, ANNEMARIE	Mujer	8
DE-LA-MAZA-CAVE, MARIA PIA DEL ROSARIO	Mujer	1
HOJMAN-CANO, LIA PAULA	Mujer	9
HUNEEUS-VERGARA, ANDREA	Mujer	7
SCHWEMBER, FELIPE	Hombre	3
GASPAR, PABLO A.	Hombre	1
KLEIN, ANDRES D.	Hombre	20
DE ARETXABALA, XABIER	Hombre	1
JARA-MORALES, PAULA ANTONIA	Mujer	3
OSORIO, MATIAS	Hombre	1
KRAUSE, MARIANE	Mujer	1
GIRAUD-BILLOUD, MAXIMILIANO	Hombre	3
RODRIGUEZ, FERNANDO	Hombre	4
BEHRENS, MARIA I.	Mujer	12
EMANUEL, BEVERLY S.	Mujer	1
POSE LEPE, GEORGETTE	Mujer	1
RUIZ, FRANCISCO	Hombre	2
FLANO, JAVIERA	Mujer	1
PAVEZ-BAEZA, FRANCISCO	Hombre	1
DUSSAILLANT, FRANCISCA	Mujer	11
MORALES-LADRON DE GUEVARA, ARTURO	Hombre	1
ERRANZ-MILLAN, BENJAMIN ALBERTO	Hombre	20
WALKER, B.	-	2
GARRIDO, C.	Mujer	2
KIM, HEETAE	-	6
CALDERON, CRISTIAN	Hombre	6
HERNANDEZ MARIN, MILENEN	Hombre	1
