Autor	Género	Total de Artículos
VIDAL, ALEJANDRA	Mujer	4
LANGER, ALVARO, I	Hombre	22
PIQUER, JOSE	Hombre	14
ALBERDI, MIREN	Mujer	3
MAZN, CERMERIO	-	1
MARTINEZ, JAVIER	Hombre	11
JARAMILLO, J.	-	1
OVEJERO AGUILAR, R.	Hombre	1
GONZALEZ-ESPARZA, ALEXANDRA	Mujer	2
STEVENSON, JOAQUIN	-	1
BRICENO, ERIKA	Mujer	7
MONTENEGRO, OSVALDO	Hombre	4
ESPINOZA, THAMAYRA	-	1
OLIVARES JANSANA, DIEGO	Hombre	2
VENABLES B, JUAN PABLO	Hombre	1
GALE, T.	Hombre	1
MOLT, MATIAS	Hombre	1
VALLEJOS, GABRIEL A.	Hombre	12
BUSTOS, CARLOS	Hombre	1
MANFIOLETE TRONCOSO, LEANDRO DRI	Hombre	2
ALEJANDRO TORO-AREVALO, SERGIO	Hombre	2
MEDINA GONZALEZ, PAUL	Hombre	1
MENDEZ, GERARDO	Hombre	2
GOLDSCHMIDT LEVINSKY, DAFNA	Mujer	1
GONZALEZ-CHANG, MAURICIO	Hombre	3
SCHLATTER-VOLLMANN, ROBERTO PABLO	Hombre	23
VELILLA-DIAZ, WILMER	Hombre	5
CATALDO, XIMENA	Mujer	1
MUNOZ, NICOLAS	Hombre	1
MONTI, ELISA	Mujer	1
GONZALEZ GOMEZ, MARGARITA P.	Mujer	10
BURGOS, ANA R.	Mujer	1
SEGOVIA, RICARDO A.	Hombre	1
LIN, Y.	-	1
TADEU, CAMARA	-	1
VENEGAS, RODOLFO	Hombre	21
MANCILLA, A.	-	4
GONZALEZ-STEGMAIER, ROXANA	Mujer	11
MERCADO-VIANCO, LUIS ALBERTO	Hombre	1
FEHRMANN, K.	-	1
SANTIBANEZ, NATACHA	Mujer	10
OSORIO-SALGADO, FELIPE ALBERTO	Hombre	2
MOLINA-SOTO, ELTON F.	Hombre	1
DIAZ-RIQUELME, PABLO IVAN	Hombre	1
BRAVO-VIVALLO, DANIEL ALFREDO	Hombre	8
SALINAS, JOSE	Hombre	1
FIERRO, PABLO	Hombre	45
FIGUEROA, JAIME	Hombre	54
ALMONACID-CARDENAS, LEONARDO IVAN	Hombre	2
TRINCADO, GUILLERMO	Hombre	28
JACQUES-P, VICTOR	Hombre	2
NOVOA-CACERES, VIVIANA	Mujer	1
CASANOVA-SEGUEL, ROBERTO	Hombre	1
MORENO DONA, ALBERTO	Hombre	5
SCHOTT-VERDUGO, STEPHAN N.	Hombre	1
VALENZUELA-CARRASCO, PAULINA NATALIA	Mujer	1
POBLETE-GRANDON, FELIPE ENRIQUE	Hombre	10
FUENTEALBA, CLAUDIA	Mujer	4
BUSTAMANTE, FELIPE A.	Hombre	3
RIVERA, FRANCISCO J.	Hombre	30
PLISSART, GAELLE	-	11
SIMON URBINA, A.	-	1
LEONOR ADAN, A.	-	1
ZAMORANO, PATRICIA	Mujer	11
DIAZ, ESTEBAN	Hombre	1
ANDRADE-VILLAGRAN, PAOLA V.	Mujer	8
ALISTE, SAMYRA	Hombre	1
ORTIZ, ALEJANDRO	Hombre	11
ANDRES-VALERI, VALERIO C.	Hombre	14
MAUGER, STEPHANE	Hombre	1
UBERTI, BENJAMIN	Hombre	29
ARTAZA-BARRIOS, OSVALDO	Hombre	1
GUTIERREZ, FELIPE	Hombre	2
YANEZ, RANDY	Hombre	2
CARRASCO, JIMENA	Mujer	11
ZUNIGA, YANIRA	-	16
GLORIA MUNOZ, CARMEN	Mujer	2
OLIVARES-AISING, DANIELA	Mujer	4
PIZARRO, EUGENIA	Mujer	5
APABLAZA, MARCELA	Mujer	7
ESTRELLA, SILVANA	Mujer	2
HELMKE, FRANCISCA	Mujer	2
PONTIGO, CLAUDIA	Mujer	2
PESENTI, H.	Hombre	9
HINRICHSEN, BRYAN	Hombre	8
VERDUGO-VASQUEZ, CRISTOBAL	Hombre	16
HOFER, J.	Hombre	8
CARDENAS, PAOLA	Mujer	6
SIMIRGIOTIS, MARIO J.	Hombre	115
SANCHEZ FERNANDEZ, IVAN	Hombre	1
GUEQUEN, ANITA	Mujer	4
BAHAMONDE, JAVIERA	Mujer	8
MARTIN-MARTIN, ANTONIA	Mujer	5
MUNOZ-URIBE, MATIAS	Hombre	4
PEREZ-LAINES, JORGE	Hombre	2
MORENO-GOMEZ, FELIPE N.	Hombre	5
RIVERO-VIERA, MYRIAM  JORDANA	Mujer	8
BALOCCHI, OSCAR L.	Hombre	56
NEUMANN, FABIAN L.	Hombre	1
BRAVO-OVALLE, VIVIANA MARIELA	Mujer	7
SILVA, MARIA E.	Mujer	8
BATIZ, LUIS F.	Hombre	15
MOVILLA-QUESADA, D.	Mujer	21
SILVA-KLEIN, L. T.	-	1
GORSKI, K.	Hombre	34
VERA, ERWIN	Hombre	1
SUAZO-GALDAMES, IVAN C.	Hombre	1
FLORES, K.	Mujer	2
LEVICOY, D.	Mujer	3
DIAZ, MARIO	Hombre	1
MOSCOSO, PAULA	Mujer	2
ARISMENDI, CATHALINA	-	1
BAHAMONDES, ROCIO	-	1
SOTO, ROSA	Mujer	1
JARA, ROCIO FERNANDA	Mujer	1
LOPEZ, DANIELA N.	Mujer	11
ABURTO, C.	Mujer	2
CHANGO, JUAN F.	Hombre	2
NAVARRO, CRISTBAL A.	-	2
SALAZAR, CAROLINA	Mujer	1
AGUIRRE GIL, ISABEL	Mujer	1
MUNZENMAYER, MELISA A.	Mujer	1
RIQUELME, CRISTIAN	Hombre	4
ALVARADO, CLAUDIA	Mujer	1
