idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,Trophic status and conductivity as regulators of daphnids dominance and zooplankton assemblages in lakes and ponds of Torres del Paine National Park,"D Soto, P De los Ríos","Biologia, Bratislava 61 (5), 541-546, 2006",52,2006
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,Biodiversity of the hypersaline Urmia Lake national park (NW Iran),"A Asem, A Eimanifar, M Djamali, P De los Rios, M Wink","Diversity 6 (1), 102-132, 2014",45,2014
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,Richness and distribution of zooplanktonic crustacean species in Chilean Andes mountains and southern Patagonia shallow ponds.,P De los Ríos,"Polish Journal of Environmental Studies 14 (6), 2005",45,2005
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,Biodiversity of the Hypersaline Urmia Lake National Park,"A Asem, A Eimanifar, M Djamali, P De los Rios, M Wink",,45*,
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,A null model for explain crustacean zooplankton species associations in central and southern patagonian in land waters,P De los Rios,"UMAG, Punta Arenas (Chile), 2008",43,2008
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,"Estudios limnológicos en lagos y lagunas del Parque Nacional Torres del Paine (51 S, Chile)","P De los Ríos, D Soto","Anales del Instituto de la Patagonia 37 (1), 63-71, 2009",42,2009
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,Efectos de una zona urbana sobre la comunidad de macroinvertebrados bentónicos de un ecosistema fluvial del sur de Chile,"F Correa-Araneda, R Rivera, J Urrutia, P De los Ríos, A Contreras, ...","Limnetica 29 (2), 0183-194, 2010",41,2010
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,Título de la Publicación,"P De los Ríos, N Rivera, M Galindo","Crustaceana 81 (10), 1219-1228, 2008",41*,2008
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,"Littoral crustaceans in mountain lakes of Huerquehue National Park (38 S, Araucania region, Chile)","P De Los Rios, E Hauenstein, X Jaque, P Acevedo","Crustaceana 80 (4), 401-410, 2007",41,2007
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,Crustacean (Copepoda and Cladocera) zooplankton richness in Chilean Patagonian lakes,"P De Los Rios, D Soto","Crustaceana 80 (3), 285-296, 2007",38,2007
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,"Comparación biométrica del lóbulo frontal en poblaciones americanas de Artemia (Anostraca, Artemiidae)","PR DE LOS RIOS, O ZUÑIGA","Revista chilena de historia natural 73 (1), 31-38, 2000",38,2000
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,Phylogeography of the wild Lager‐brewing ancestor (Saccharomyces eubayanus) in Patagonia,"JI Eizaguirre, D Peris, ME Rodríguez, CA Lopes, P De Los Ríos, ...","Environmental microbiology 20 (10), 3732-3743, 2018",34,2018
