organization,scholar_id,affiliation,email_domain,citedby,interests
7.459009050823924e+18,Vuh8MLcAAAAJ,Pontificia Universidad Católica de Chile,@ing.puc.cl,612.0,"Mineral Processing, Extractive Metallurgy, Energy Storage"
7.459009050823924e+18,rfHOGvAAAAAJ,Pontificia Universidad Católica de Chile,@uc.cl,615.0,Didáctica de la Matemática
7.459009050823924e+18,1E48BeUAAAAJ,Pontificia Universidad Católica de Chile,@uc.cl,627.0,"Archaeology, paleoethnobotany"
7.459009050823924e+18,Rt9fMGEAAAAJ,Pontificia Universidad Católica de Chile,@mat.uc.cl,622.0,"Convex Optimization, Machine Learning"
7.459009050823924e+18,_TcVAiUAAAAJ,Pontificia Universidad Católica de Chile,@uc.cl,608.0,neuromuscular disorders
7.459009050823924e+18,YYs3wHEAAAAJ,Pontifica Universidad Catolica de Chile,@astro.puc.cl,610.0,AGN and host galaxy co-evolution
7.459009050823924e+18,i1ntGEkAAAAJ,Pontificia Universidad Católica de Chile,@bio.puc.cl,610.0,Physiology
7.459009050823924e+18,h9mbEmMAAAAJ,Pontifica Universidad Católica de Chile,@uc.cl,616.0,catalysis
7.459009050823924e+18,cvEpKrQAAAAJ,Pontificia Universidad Católica de Chile,@uc.cl,611.0,Neurociencias
7.459009050823924e+18,fv1VJCoAAAAJ,Pontificia Universidad Católica de Chile,@mat.puc.cl,592.0,Statistics
7.459009050823924e+18,ZpcNzOgAAAAJ,Pontificia Universidad Catolica de Chile,@uc.cl,578.0,"Bioestadistica, modelos estadisticos"
7.459009050823924e+18,55vx5nYAAAAJ,Pontificia Universidad Católica de Chile,@uc.cl,583.0,Organizational Psychology
7.459009050823924e+18,jgOpV4wAAAAJ,"Professor of Science Education, Pontificia Universidad Católica de Chile",@uc.cl,585.0,"Science Education, Mathematical Psychology, Astrophysics"
7.459009050823924e+18,RiUSDuMAAAAJ,"Assistant professor, Pontificia Universidad Católica de Chile",@uc.cl,594.0,"choice modelling, demand modelling, travel behaviour"
