titulo,autores,revista
Long short-term memory networks based in echo state networks for wind speed forecasting,"E López, C Valle, H Allende, E Gil","Iberoamerican Congress on Pattern Recognition, 347-355, 2017"
Bagging with asymmetric costs for misclassified and correctly classified examples,"R Ñanculef, C Valle, H Allende, C Moraga","Iberoamerican Congress on Pattern Recognition, 694-703, 2007"
Monitorear la convivencia escolar para fortalecer (no disminuir) las capacidades de las escuelas,"V López Leiva, P Ascorra Costa, MÁ Bilbao, C Carrasco Aguilar, ...","RIEE. Revista Iberoamericana de Evaluación Educativa, 2013"
Victimización de pares y satisfacción con la vida: la influencia del apoyo de profesores y compañeros de la escuela,"B Villalobos-Parada, C Carrasco, D Olavarría, S Ortiz, V López, ...","Psykhe (Santiago) 25 (2), 1-16, 2016"
Construction and validation of a classroom climate scale: A mixed methods approach,"V López, J Torres-Vallejos, P Ascorra, B Villalobos-Parada, M Bilbao, ...","Learning Environments Research 21 (3), 407-422, 2018"
Inclusión y violencia: prevalencia de victimización entre pares en estudiantes que participan en programas de integración escolar,"B Villalobos, C Carrasco, V López, MÁ Bilbao, M Morales, S Ortiz, ...","Facultad de Ciencias de la Educación de la Universidad Central de Chile, 2017"
El papel mediador de la capacitación docente en el manejo de la violencia escolar sobre el bienestar social de profesores,"M Morales, V López, M Bilbao, B Villalobos, D Oyarzún, D Olavarría, ...","terapia psicolÓgica 32 (3), 217-226, 2014"
School and community factors involved in Chilean students’ perception of school safety,"V López, J Torres‐Vallejos, B Villalobos‐Parada, TD Gilreath, P Ascorra, ...","Psychology in the Schools 54 (9), 991-1003, 2017"
Violencia escolar a profesores: Conductas de victimización reportadas por docentes de enseñanza básica,"M Morales, JPÁ González, ÁA del Castillo, PA Costa, MÁB Ramírez, ...","Revista de Estudios Cotidianos 2 (2), 91-116, 2014"
"La convivencia escolar como práctica social: de lo individual a lo social, de lo reactivo y punitivo a lo formativo, del déficit a los recursos, de lo autoritario a lo …","P Ascorra, V López, M Morales, S Ortiz, C Carrasco, M Bilbao, A Ayala, ...","V., López, H., Díaz, & C. Carrasco (Eds.)¡ Nosotros sí podemos, 117-141, 2015"
Victimización del personal de la escuela hacia estudiantes referidos a proyectos de integración escolar,"B Villalobos-Parada, V López, M Bilbao, C Carrasco Aguilar, P Ascorra, ...","Universidad de Almería, 2015"
Peer victimization and mental health risk in Chilean students,"V López, M Murphy, C Lucke, J Torres-Vallejos, B Villalobos-Parada, ...","Journal of Child and Family Studies 27 (8), 2608-2621, 2018"
Construcción de un instrumento para la medición de las actitudes de los docentes hacia la Integración de Estudiantes con Discapacidad,B Villalobos,"Tesis para optar al grado de Magíster en psicología educacional, 2012"
Monitoring School Conviviality in order to Built (not diminish) Schools’ Capacities.,"V López, P Ascorra, MÁ Bilbao, C Carrasco, M Morales, B Villalobos, ...","Revista Iberoamericana de Evaluación Educativa 6 (2), 201-219, 2013"
Desprivatizar la aulas,"FJ Murillo, C Duk, ML Cruz, G Echeita, Y Muñoz, M Sandoval, C Simón, ...","Revista Latinoamericana de Educación Inclusiva 8 (2), 13-15, 2014"
What do support professionals do in schools? Construction and validation of an instrument for assessing whole-school prevention and promotion strategies,"V López, D Olavarría, K Cárdenas, S Ortiz, N Alfaro, B Villalobos-Parada","Journal of Prevention and Health Promotion 2 (2), 329-357, 2021"
Prevalence of victimization from school staff to students referred to school integration programs/Victimizacion del personal de la escuela hacia estudiantes referidos a …,"B Villalobos-Parada, V Lopez, M Bilbao, CC Aguilar, P Ascorra, ...","Psychology, Society, & Education 7 (2), 133-152, 2015"
School Violence Towards Teachers: Victimization Behaviors in Elementary-School Teachers,"M Morales Pinochet, J Pablo Alvarez, A Ayala del Castillo, ...","REVISTA ESTUDIOS COTIDIANOS 2 (2), 91-116, 2014"
The mediating role of teacher training in the management of school violence on the social wellbeing of teachers,"M Morales, V Lopez, M Angeles Bilbao, B Villalobos, D Oyarzun, ...","TERAPIA PSICOLOGICA 32 (3), 217-225, 2014"
Construcción de un Instrumento para la Medición de las Actitudes de los Docentes hacia la Integración de Estudiantes con Discapacidad,B Villalobos Parada,"Universidad Alberto Hurtado, 2012"
SEM study of the growth of electrochemically obtained polythiophene thin films: effect of electrolyte and monomer concentration in acetonitrile,"L Ugalde, JC Bernede, MA Del Valle, FR Díaz, P Leray","Journal of applied polymer science 84 (10), 1799-1809, 2002"
SEM study of the growth of electrochemically obtained polyselenophene thin films. Effect of electrolyte and monomer concentration in acetonitrile,"MA del del Valle, L Ugalde, FR Diaz, ME Bodini, JC Bernède, A Chaillou","Polymer Bulletin 51 (1), 55-62, 2003"
Nucleation and growth mechanism of polycarbazole deposited by electrochemistry,"S Abé, L Ugalde, MA del Valle, Y Trégouët, JC Bernède","Journal of the Brazilian Chemical Society 18, 601-606, 2007"
Nucleation and growth mechanisms of poly (furan): effect of electrolyte and monomer concentration in acetonitrile,"M Valle, L Ugalde, F Pino, FR Díaz, JC Bernède","Journal of the Brazilian Chemical Society 15, 272-276, 2004"
Electrochemical deposition of polycarbazole thin films onto tin oxide coated glass: Physicochemical and optoelectronic characterizations,"S Yapi Abe, JC Bernede, L Ugalde, Y Tregouet, MA Del Valle","Journal of applied polymer science 106 (3), 1568-1575, 2007"
Effect of working conditions on the morphology of electrosynthesized polyfuran,"MA Del Valle, L Ugalde, FR Díaz, ME Bodini, JC Bernède","Journal of applied polymer science 92 (2), 1346-1354, 2004"
"Synthesis, characterization and electrical properties of poly [bis-(2-aminophenyl) disulfide] and poly [bis (2-aminophenyl) diselenide]","FR Díaz, CO Sánchez, MA Del Valle, L Ugalde, L Gargallo","Synthetic metals 105 (3), 161-169, 1999"
"Synthesis, characterization and electrical properties of poly [bis-(2-aminophenyl) disulfide] and poly [bis (2-aminophenyl) diselenide]","FR Dı́az, CO Sánchez, MA del Valle, L Ugalde, L Gargallo","Synthetic Metals 105 (3), 161-169, 1999"
"ESTUDIO SISTEMATICO DE LA ELECTROPOLIMERIZACION DE LOS HETEROCICLOS DE CINCO MIEMBROS, FURANO, TIOFENO Y SELENOFENO.",L UGALDE MEZA,
Necesidades de formación permanente de docentes técnicos,"M Arancibia Herrera, C Miranda Jaña, H Pérez San Martín, T Koch Ewertz","Estudios pedagógicos (Valdivia) 34 (1), 7-26, 2008"
"Internationalizing a national scientific community? Changes in publication and citation practices in Chile, 1976–2015","T Koch, R Vanderstraeten","Current Sociology 67 (5), 723-741, 2019"
Evidencias para la filosofía de Watson: versión preliminar del caring behaviors assessment en Chile,"R Ayala-Valenzuela, MJ Calvo-Gil, MC Torres-Andrade, T Koch-Ewertz","Revista Cubana de Enfermería 26 (1), 42-51, 2010"
The image of ethnography—Making sense of the social through images: A structured method,"RA Ayala, TF Koch","International Journal of Qualitative Methods 18, 1609406919843014, 2019"
Let's talk about society: A Critical Discourse Analysis of sociology courses in pre-registration nursing,"TF Koch, VJ Leal, RA Ayala","Nurse Education Today 36, 139-144, 2016"
Inter/transdisciplinariedad y universidad: patrones de desplazamiento e interactividad disciplinar,"I Oliva Figueroa, T Koch Ewertz, J Quintero Tapia","Magis: Revista Internacional de Investigación en Educación 6 (13), 99-112, 2014"
Temas y sistemas en educación: Hacia un modelo de observación,"T Koch, A Pigassi","Perfiles educativos 35 (140), 169-181, 2013"
Making science international: Chilean journals and communities in the world of science,"T Koch, R Vanderstraeten, R Ayala","Social Studies of Science 51 (1), 121-138, 2021"
Understanding the prospect of success in professional training: an ethnography into the assessment of problem-based learning,"RA Ayala, TF Koch, HB Messing","Ethnography and education 14 (1), 65-83, 2019"
The system of nursing in Chile: Insights from a systems theory perspective,"RA Ayala, TF Koch, HB Messing","Nursing Inquiry 26 (1), e12260, 2019"
Prospectiva transdisciplinaria en educación superior: construcción de perfiles vocacionales según grados de flexibilidad disciplinar en estudiantes de último año de nivel …,"T Koch, I Oliva, S Valencia, JP Salazar","Formación universitaria 8 (3), 65-78, 2015"
Commemorating Chile's Coup: The Dynamics of Collective Behavior,"M del Valle Barrera, T Koch, BE Aguirre","Latin American Politics and Society 55 (2), 106-132, 2013"
Segundo Congreso Global de Investigación Cualitativa en Salud:¿ qué posición toma la medicina?,"RA Ayala, TF Koch","Revista médica de Chile 141 (4), 543-544, 2013"
Journal editors and journal indexes: Internationalization pressures in the semi‐periphery of the world of science,"T Koch, R Vanderstraeten","Learned Publishing 34 (4), 519-527, 2021"
"Scholarly communities at the crossroads: Internationalizing sociological networks in Valparaíso, Chile (2003–2019)","T Koch, G Blanco-Wells, RA Ayala","Minerva 59 (1), 99-122, 2021"
Playa ancha. Saberes compartidos y narrativas de encuentro,"T Koch, J Carmona, A Arriagada, P Monroe, H Vásquez","Universidad de Playa Ancha, Valparaíso, 2014"
LA MOVILIZACIÓN DE ACTORES SOCIALES Y EL CONTROL CIUDADANO EN PROCESOS DE DESARROLLO REGIONAL: DE “VALDIVIA NUEVA REGIÓN” A LA REGIÓN DE LOS RÍOS.,"CA Amtmann, M del Valle Barrera, G Blanco, M Ignacia, TK Fuenzalida, ...","Revista Chilena de Estudios Regionales 2, 44-53, 2010"
¿ De que hablamos cuando hablamos de mercado de la educación?,"T Koch, J Labraña","Revista F@ ro 2 (34), 2022"
Why I should cite you? The evolving role of documentation and citation in scholarly communication,TK Ewertz,"The Routledge Handbook of Scientific Communication, 102-111, 2021"
Striving for worldwide impact: a multi-method study on the internationalization processes of Chilean scholarly communities,TF Koch Ewertz,"Ghent University, 2021"
Teoría del muestreo: particularidades del diseño muestral en estudios de la conducta social,F Mandujano,"REMA Revista electrónica de metodología aplicada 3 (1), 1-15, 1998"
"Reconfiguración espacial y modelos de apropiación y uso del territorio en la Patagonia chilena: migración por cambio de estilo de vida, parques de conservación y economía de la …","JC Rodríguez Torrent, S Reyes Herrera, F Mandujano Bustamante","Revista de Geografía Norte Grande, 187-206, 2016"
"La erupción del volcán Chaitén: voyerismo, desconfianza, academia y Estado. Consecuencias urbanas y sociales en la comunidad","F Mandujano, JC Rodríguez, SE Reyes, P Medina","Universum (Talca) 30 (2), 153-177, 2015"
Consenso chileno de técnicas de kinesiología respiratoria en pediatría,"M Barros-Poblete, R Torres-Castro, YV Rojas, CR Munita, H Puppo, ...","Neumología pediátrica 13 (4), 137-148, 2018"
La gestión de las escuelas rurales multigrado,F Mandujano,"Revista Digital eRural 7, 2006"
Fronteras internas y hegemonías predicativas en Chile: El caso de la Patagonia austral,"JC Rodríguez Torrent, N Gissi Barbieri, F Mandujano Bustamante","Chungará (Arica) 50 (4), 633-650, 2018"
O Estado chileno e a Patagônia: conflitos territoriais,"F Mandujano-Bustamante, JC Rodríguez-Torrent, S Reyes-Herrera","Bitácora Urbano Territorial 26 (1), 83-92, 2016"
Cómo la escuela rural puede propiciar la investigación educacional pertinente,F Mandujano,"Revista Digital eRural, Educación, cultura y desarrollo rural 6 (11), 2009"
"Ruralidad y “frontera interior” en la Patagonia chilena: Unidades domésticas, vida cotidiana y nuevos ejes para su comprensión","JC Rodríguez, JA Sáenz, N Gissi, F Mandujano","Magallania (Punta Arenas) 47 (1), 41-63, 2019"
La catástrofe del 2008 en la provincia de Palena: reflexiones sobre sus particularidades e impacto en la Patagonia Occidental,"F Mandujano, JC Rodríguez","Magallania (Punta Arenas) 44 (2), 69-85, 2016"
La cultura organizacional en la frontera de la institucionalización: Estudio de caso de escuelas rurales pequeñas de la Patagonia occidental,F Mandujano,"España. Universidad de Burgos. Recuperado: https://riubu. ubu. es/bitstream …, 2015"
"Educación rural y desarrollo local: la experiencia de la universidad de playa ancha, 1996-2004","C Moreno, F Leyva, F Mandujano","Revista Digital rural, Educación, cultura y desarrollo rural 2 (3), 1-5, 2004"
"Ruralidad, conservación y justicia territorial. Legitimidades desiguales en la Patagonia Norte chilena","JC Rodríguez-Torrent, F Mandujano-Bustamante, R Vargas-Callegari","Revista Austral de Ciencias Sociales, 155-181, 2019"
El Secreto del Hombre Invisible: el papel de la visibilidad conductual en la identidad y el cambio,F Mandujano,"Athenea Digital: Revista de Pensamiento e Investigacion Social, 23-33, 2007"
"Al sur del mundo: Coyhaique, ficciones de una ciudad para el turismo","JC Rodríguez Torrent, F Mandujano Bustamante, H Berroeta, ...","Andamios 17 (43), 207-231, 2020"
"El proyecto nueva Chaitén: La asincronía entre Estado, academia y comunidad","JCR Torrent, SR Herrera, FM Bustamante","AUS [Arquitectura/Urbanismo/Sustentabilidad], 73-79, 2017"
"El proyecto nueva Chaitén: La asincronía entre Estado, academia y comunidad","JCR Torrent, SR Herrera, FM Bustamante",
"La doble destrucción de Chaitén. Consideraciones sociales, urbanas y territoriales sobre una catástrofe","SR HERRERA, JCR TORRENT, FM BUSTAMANTE","Márgenes. Espacio Arte y Sociedad 11 (15), 57-68, 2014"
La eficacia y la calidad en la adquisición de competencias caracterizan a la escuela rural:¿ es un modelo transferible a otra tipología de escuela?,"RB Tomás, I Soler, PA Olivares, VD Cebrián, RMR Garzarán, AB Jiménez, ...","Creando redes, estableciendo sinergias: la contribución de la investigación …, 2013"
¿ Te quedas o te vas? Precarización urbana y mecanismos de expulsión juvenil en Aysén y Magallanes,"JC Rodríguez, F Mandujano","AUTORIDAD DE ESTADO. Poder, cultura y sentido, 151, 2021"
"Microbial diversity and cyanobacterial production in Dziani Dzaha crater lake, a unique tropical thalassohaline environment","C Leboulanger, H Agogue, C Bernard, M Bouvy, C Carre, M Cellamare, ...","PLoS One 12 (1), e0168879, 2017"
An efficient and rapid method for the enumeration of heterotrophic prokaryotes in coastal sediments by flow cytometry,"C Lavergne, L Beaugeard, C Dupuy, C Courties, H Agogué","Journal of microbiological methods 105, 31-38, 2014"
"Isolation and distribution of iridescent Cellulophaga and other iridescent marine bacteria from the Charente-Maritime coast, French Atlantic","B Kientz, H Agogué, C Lavergne, P Marié, E Rosenfeld","Systematic and applied microbiology 36 (4), 244-251, 2013"
Towards centralized biogas plants: co-digestion of sewage sludge and pig manure maintains process performance and active microbiome diversity,"C Lavergne, P Bovio Winkler, C Etchebehere, S Garcia-Gen","Bioresource Technology, 122442, 2019"
Sub-oxycline methane oxidation can fully uptake CH4 produced in sediments: case study of a lake in Siberia,"F Thalasso, A Sepulveda-Jauregui, L Gandois, K Martinez-Cruz, ...","Scientific reports 10 (1), 1-7, 2020"
"First snow, glacier and groundwater contribution quantification in the upper Mendoza River basin using stable water isotopes","SA Crespo, F Fernandoy, L Cara, S Klarian, C Lavergne","Isotopes in Environmental and Health Studies 56 (5-6), 566-585, 2020"
Diel rhythm does not shape the vertical distribution of bacterial and archaeal 16S rRNA transcript diversity in intertidal sediments: a mesocosm study,"C Lavergne, M Hugoni, C Hubas, D Debroas, C Dupuy, H Agogué","Microbial ecology 75 (2), 364-374, 2018"
Temperature differently affected methanogenic pathways and microbial communities in sub-Antarctic freshwater ecosystems,"C Lavergne, P Aguilar-Muñoz, N Calle, F Thalasso, MS Astorga-España, ...","Environment International 154, 106575, 2021"
A need for a standardization in anaerobic digestion experiments? Let's get some insight from meta-analysis and multivariate analysis,"C Lavergne, D Jeison, V Ortega, R Chamy, A Donoso-Bravo","Journal of environmental management 222, 141-147, 2018"
First evidence of the presence and activity of archaeal C3 group members in an Atlantic intertidal mudflat,"C Lavergne, M Hugoni, C Dupuy, H Agogué","Scientific reports 8 (1), 1-5, 2018"
Factors influencing prokaryotes in an intertidal mudflat and the resulting depth gradients,"C Lavergne, H Agogué, A Leynaert, M Raimonet, R De Wit, P Pineau, ...","Estuarine, Coastal and Shelf Science 189, 74-83, 2017"
Where does the chilean aconcagua river come from? Use of natural tracers for water genesis characterization in glacial and periglacial environments,"SA Crespo, C Lavergne, F Fernandoy, AA Muñoz, L Cara, S Olfos-Vargas","Water 12 (9), 2630, 2020"
Rôle (structure et fonction) des communautés procaryotes (bactéries et archées) dans le cycle de l’azote d’une vasière littorale du Pertuis Charentais,C Lavergne,"Université de La Rochelle, 2014"
Antarctic intertidal macroalgae under predicted increased temperatures mediated by global climate change: Would they cope?,"PSM Celis-Plá, F Moenne, F Rodríguez-Rojas, D Pardo, C Lavergne, ...","Science of The Total Environment 740, 140379, 2020"
C3 group: a rare but active Thaumarchaeal group in intertidal muddy sediment,"A Hélène, H Mylène, D Christine, L Céline","Proceedings of the Aquatic Sciences Meeting on Association for the Sciences …, 2015"
Macroalgae metal-biomonitoring in Antarctica: Addressing the consequences of human presence in the white continent,"C Lavergne, PSM Celis-Pla, A Chenu, F Rodríguez-Rojas, F Moenne, ...","Environmental Pollution 292, 118365, 2022"
"Methane and carbon dioxide cycles in lakes of the King George Island, maritime Antarctica","F Thalasso, A Sepúlveda-Jauregui, L Cabrol, C Lavergne, N Olgun, ...","Science of The Total Environment, 157485, 2022"
The biotechnological potential of microbial communities from Antarctic soils and sediments: Application to low temperature biogenic methane production,"P Aguilar-Muñoz, C Lavergne, R Chamy, L Cabrol","Journal of Biotechnology 351, 38-49, 2022"
"A Cross‐Cutting Approach for Relating Anthropocene, Environmental Injustice and Sacrifice Zones","EM Gayo, AA Muñoz, A Maldonado, C Lavergne, JP Francois, ...","Earth's Future 10 (4), e2021EF002217, 2022"
Temperature increase affects acetate-derived methane production in Alaskan lake sediments and wetland soils,"BM Dellagnezze, PB Winkler, C Lavergne, DA Menoni, F Mosquillo, ...","bioRxiv, 2021"
Anarchivismo: Tecnologías políticas del archivo,AM Tello,"La cebra, 2018"
El arte y la subversión del archivo,AM Tello,"Aisthesis, 125-143, 2015"
Notas sobre las políticas del patrimonio cultural,A Tello,"Cuadernos interculturales 8 (15), 115-131, 2010"
Anarchivismo,A Tello,"Tecnologías políticas del archivo. Santiago: Ediciones La Cebra, 2018"
“Desobediencia intelectual”: resistencias a la privatización del conocimiento,"N Darat, AM Tello","Polis. Revista Latinoamericana, 2016"
Foucault y la escisión del archivo,AM Tello,"Universidad Andrés Bello, 2016"
El anarchivismo en Walter Benjamin. Sobre la práctica del coleccionista y la filosofía materialista de la historia,AM Tello,"Aufklärung. Revista de filosofía 3 (2), 55-68, 2016"
La comunidad mapuche: colonización jurídica-legal y resistencia del estar en común,"C González, R Durán, A Tello","A Contracorriente: una revista de estudios latinoamericanos 4 (3), 137-155, 2007"
". El arte y la subversión del archivo. Aisthesis, 58, 125-143",AM Tello,
Una archivología (im) posible. Sobre la noción de archivo en el pensamiento filosófico,AM Tello,"Síntesis. Revista de filosofía 1 (1), 43-65, 2018"
Tecnologías de la propaganda. Contribuciones para una genealogía sobre el gobierno del público. Technologies of propaganda. Some reflections for a genealogy of the government …,AM Tello,"Revista F@ ro 2 (26), 2017"
Gobierno y desacuerdo. Diálogos interrumpidos entre Foucault y Rancière,A Tello,"Viña del Mar: Comunes, 2016"
El conflicto de la cultura moderna. Reflexiones en torno a Georg Simmel,"G Henríquez, A Tello","Ciencias Sociales Online 4 (1), 62-76, 2007"
“Otro fin de mundo es posible”. Revuelta y anarchivismo,AM Tello,"Re-presentaciones. Periodismo, Comunicación y Sociedad, 77-91, 2019"
La política de los modos de subjetivación: consideraciones a partir del (des) encuentro entre Foucault y Rancière,AM Tello,"Murcia: Ateneo Cantonal de Estudios Políticos (ACEP), 2018"
Las afecciones del trabajo intelectual en postdictadura,AM Tello,"Tesis (Magíster en Estudios Latinoamericanos) Facultad de Filosofía y …, 2008"
Archival Philosophy: Are We in the Age of Access?,AM Tello,"Proceedings of the XXIII World Congress of Philosophy 46, 65-69, 2018"
Programar y gobernar. Disputas tecnológico-políticas en la época de las smart cities,AM Tello,"Arbor 198 (803-804), a637-a637, 2022"
Capitalismo arcóntico. Acumulación por desposesión masiva de datos y tecnologías algorítmicas de modulación social,AM Tello,"Interrupciones: narrativas, tecnologías y crítica al fascismo, 151-171, 2022"
"Tecnologías digitales, creative commons y nuevos modos de producción cultural en Chile","AM Tello, C Dinamarca Noack, S Escobar Pulgar","Cuadernos. info, 72-93, 2021"
Estandarización y racionalidad política neoliberal: bases curriculares de Chile,"MA Oliva, F Gascón","Cadernos Cedes 36, 301-318, 2016"
Presencia e in-diferencia. Por un estatuto visual de la niñez,"FL GAsCón, L Godoy","Revista Latinoamericana de Ciencias Sociales, Niñez y Juventud 13 (2), 645-656, 2015"
Movimientos sociales emergentes y representaciones mediáticas recurrentes: Tensiones en el discurso verbo-visual construido sobre el movimiento estudiantil por la prensa de …,"F Gascón i Martín, C Pacheco Silva","Última década 23 (43), 25-52, 2015"
Construcción discursiva de las actorías en las crónicas informativas sobre el movimiento estudiantil en El Mercurio de Valparaíso y El Martutino durante los meses de mayo a …,"FG i Martín, C Pacheco","Comunicación y Medios, ág. 115-129, 2012"
"Transformaciones Sociales, Redes y Políticas de Comunicación en Chile (1967-2001). Elementos para una ecología política de las comunicaciones",F Gascón,"Universitat Autònoma de Barcelona, 2003"
F.(2005). De imaginarios y memorias olvidadas. Reflexiones sobre redes de comunicación e interculturalidad,GI Martín,"Browne, R. y Silva, V.(coords.) Monográfico Comunicación Intercultural en …, 0"
Emocionar la comunicación,F Gascón,"Palimpsestos de Comunicación y Desarrollo Humano. Valparaíso: Facultad de …, 2003"
"Actores, movimientos sociales y producción discursiva. Tentativas en torno a una epistemografía de la presencia",FG i Martín,"Altre Modernità, 176-200, 2016"
"Biopolítica, migraciones y pensamiento alterizado: dispositivos mediáticos para el control de ima (r) ginarios",F Gascón,"F@ ro: Revista teórica del Departamento de Ciencias de la Comunicación, 5, 2010"
¿ Políticas de la memoria o semióticas del olvido? Ima (r) ginarios sobre comunicación y cambio social,F Gascón,"Razón y Palabra, 17, 2010"
Cristianismo y marxismo en Chile: paradojas comunicacionales y espacios de convivencia,"I BRAVO, F GASCÓN","Pensamiento Comunicacional Latinoamericano, 1-23, 2002"
Del memorialismo analógico al memorialismo digital: aportaciones no-androcéntricas a la construcción de un humanismo plural,"AM Sardà, FG Martín, PM Rodríguez-Navas","Ghrebh. Revista de Comunicação, Cultura e Teoria da Mídia. Centro …, 2010"
"Transformaciones Sociales, Redes y Políticas de Comunicación en Chile (1967-2002)",F GASCÓN,"Tesis Doctoral: Departamento de Periodismo y Ciencias de la Comunicación …, 2003"
De ima (r) ginarios y memorias olvidadas. Reflexiones sobre redes de comunicación e interculturalidad,F Gascón,"Redes. com: revista de estudios para el desarrollo social de la Comunicación …, 2005"
Normalization and neoliberal political rationality: National Curriculum Foundations in Chile,"MA Oliva, F Gascón","Cadernos CEDES 36, 301-318, 2016"
Redes-cubriendo el emocionar: itinerancias entre una geneaología huilliche y una ecología política de la comunicación,F Gascón,"Contrapuntos y entrelíneas sobre cultura, comunicación y discurso, 218-231, 2008"
Memorias e itinerancias desde una ecología política de la comunicación humana,F Gascón,"Rodríguez Monarca, C.; Browne, R., del Valle, C, 65-73, 2006"
Cartografías de la comunicación: los archivos del patrimonio ante los nuevos relatos de la diferencia,"F Gascón, VS Echeto","F@ ro: revista teórica del Departamento de Ciencias de la Comunicación, 17-30, 2005"
"Memorias ciudadanas de innovación local. Un estudio de casos en la Región de Valparaíso”. En: SALINAS, Javier y CUBILLOS, Julia [coord.] Iniciativas Sociales Locales y …",F GASCÓN,
Proceso constituyente en Chile: Recorte histórico sobre la soberanía popular negada,"F Gascón, H Tórtora","CUPEA Cuadernos de Política Exterior Argentina, 117-120, 2020"
Characterization of cytokinin signaling and homeostasis gene families in two hardwood tree species: Populus trichocarpa and Prunus persica,"J Immanen, K Nieminen, H Duchens Silva, F Rodriguez Rojas, LA Meisel, ...","BMC genomics 14 (1), 1-12, 2013"
"Cadmium and/or copper excess induce interdependent metal accumulation, DNA methylation, induction of metal chelators and antioxidant defences in the seagrass Zostera marina","M Greco, CA Sáez, RA Contreras, F Rodríguez-Rojas, MB Bitonti, ...","Chemosphere 224, 111-119, 2019"
Flavoprotein-mediated tellurite reduction: structural basis and applications to the synthesis of tellurium-containing nanostructures,"M Arenas-Salinas, JI Vargas-Pérez, W Morales, C Pinto, P Muñoz-Díaz, ...","Frontiers in microbiology 7, 1160, 2016"
Mercury-mediated cross-resistance to tellurite in Pseudomonas spp. isolated from the Chilean Antarctic territory,"F Rodríguez-Rojas, W Díaz-Vásquez, A Undabarrena, P Muñoz-Díaz, ...","Metallomics 8 (1), 108-117, 2016"
MAPK pathway under chronic copper excess in green macroalgae (Chlorophyta): Involvement in the regulation of detoxification mechanisms,"F Rodríguez-Rojas, PSM Celis-Plá, L Méndez, F Moenne, PT Muñoz, ...","International journal of molecular sciences 20 (18), 4546, 2019"
MAPK pathway under chronic copper excess in green macroalgae (Chlorophyta): Influence on metal exclusion/extrusion mechanisms and photosynthesis,"PSM Celis-Plá, F Rodríguez-Rojas, L Méndez, F Moenne, PT Muñoz, ...","International journal of molecular sciences 20 (18), 4547, 2019"
"Draft Genome Sequence of a Multi-Metal Resistant Bacterium Pseudomonas putida ATH-43 Isolated from Greenwich Island, Antarctica","F Rodríguez-Rojas, P Tapia, E Castro-Nallar, A Undabarrena, ...","Frontiers in microbiology 7, 1777, 2016"
Ecophysiological and cellular stress responses in the cosmopolitan brown macroalga Ectocarpus as biomonitoring tools for assessing desalination brine impacts,"F Rodríguez-Rojas, A López-Marras, PSM Celis-Plá, P Muñoz, ...","Desalination 489, 114527, 2020"
Seasonal Photoacclimation and Vulnerability Patterns in the Brown Macroalga Lessonia spicata (Ochrophyta),"A Zúñiga, CA Sáez, A Trabal, FL Figueroa, D Pardo, C Navarrete, ...","Water 13 (1), 6, 2020"
Physiological and metabolic responses to hypersalinity reveal interpopulation tolerance in the green macroalga Ulva compressa with different pollution histories,"PT Muñoz, F Rodríguez-Rojas, PSM Celis-Plá, L Méndez, D Pinto, ...","Aquatic Toxicology 225, 105552, 2020"
Antarctic intertidal macroalgae under predicted increased temperatures mediated by global climate change: Would they cope?,"PSM Celis-Plá, F Moenne, F Rodríguez-Rojas, D Pardo, C Lavergne, ...","Science of The Total Environment 740, 140379, 2020"
Macroalgae metal-biomonitoring in Antarctica: Addressing the consequences of human presence in the white continent,"C Lavergne, PSM Celis-Pla, A Chenu, F Rodríguez-Rojas, F Moenne, ...","Environmental Pollution 292, 118365, 2022"
"Ulva compressa from Copper-Polluted Sites Exhibits Intracellular Copper Accumulation, Increased Expression of Metallothioneins and Copper-Containing …","D Espinoza, A González, J Pizarro, R Segura, D Laporte, ...","International journal of molecular sciences 22 (19), 10531, 2021"
“Remembrance is not Enough...” (“No basta solo el recuerdo…”): The Cantata Popular Santa María de Iquique 40 Years After its Release,E Karmy,"The Militant Song Movement in Latin America: Chile, Uruguay, and Argentina …, 2014"
Palimpsestos Sonoros: Reflexiones sobre la Nueva Canción Chilena,"E Karmy, MF Zúñiga","Ceibo Ediciones, 2014"
El papel de las políticas públicas en las condiciones laborales de los músicos en Chile,"E Karmy, J Brodsky, M Facuse, M Urrutia Fernández","CLACSO, 2015"
Ecos de un tiempo distante. La Cantata Popular Santa María de Iquique (Luis Advis-Quilapayún) y sus resignificaciones sociales a 40 años de su estreno,E Karmy,"Facultad de Artes de la Universidad de Chile, 2012"
Tiesos pero cumbiancheros: Perspectivas y paradojas de la cumbia chilena,"E Karmy, L Ardito, A Vargas","¿Popular, pop, populachera? El dilema de las músicas populares en Amércia …, 2011"
"‘También yo tengo mi cumbia, pero mi cumbia es chilena’: apuntes para una reconstrucción sociohistórica de la cumbia chilena desde el cuerpo",E Karmy,"Resonancias 32 (1), 93-110, 2013"
El trencito rebelde: sobre cómo la cumbia se tomó las calles e hizo bailar a los serios intelectuales de la Unidad Popular,"E Karmy, A Vargas, A Mardones, L Ardito","Revista Retrospectiva de la Corporación Chilena de Estudios Históricos 1, 57-75, 2013"
Musical mutualism in Valparaiso during the rise of the labor movement (1893–1931),E Karmy,"Popular Music and Society 40 (5), 539-555, 2017"
The path to trade unionism: musical work in Chile (1893-1940),E Karmy,"Glasgow: University of Glasgow, 2019"
Tango viajero: Orquestas típicas en Valparaíso (1950-1973),"C Molina, E Karmy","MAGO, 2015"
